Fecha,FR_Items,FR_Items_Reemplazo,FR_Compras,FR_Compras_Reemplazo,Compra_Perfecta,On_Time,Cancel_Rate,Cancel_Buyer,Cancel_Stockout,Cancel_Seller
2026-05-20,0.9631,0.966,0.7937,0.8148,0.7937,0.957,0.0405,0.0116,0.0231,0.0058
2026-05-21,0.9426,0.9525,0.75,0.77,0.75,0.9581,0.0427,0.0342,0.0085,0.0
2026-05-22,0.9255,0.9348,0.7028,0.7264,0.7028,0.892,0.0376,0.0215,0.0108,0.0108
2026-05-23,0.9467,0.9518,0.7012,0.7378,0.7012,0.9684,0.0577,0.0321,0.0256,0.0
2026-05-24,0.9479,0.9558,0.6555,0.6975,0.6555,1.0,0.072,0.04,0.016,0.016
2026-05-25,0.9344,0.9396,0.6667,0.7204,0.6667,1.0,0.0606,0.053,0.0076,0.0
2026-05-26,0.9388,0.9398,0.722,0.7317,0.722,0.955,0.049,0.0245,0.0196,0.0049
2026-05-27,0.9277,0.9417,0.7216,0.7887,0.7216,0.9788,0.0467,0.0327,0.014,0.0
2026-05-28,0.9552,0.9634,0.71,0.76,0.71,0.9846,0.0561,0.0153,0.0255,0.0153
2026-05-29,0.933,0.9397,0.7039,0.7263,0.7039,0.977,0.0613,0.0245,0.0184,0.0245
2026-05-30,0.93,0.9388,0.634,0.6863,0.634,0.915,0.0552,0.0414,0.0069,0.0138
2026-05-31,0.9345,0.9455,0.5814,0.6279,0.5814,0.9882,0.0325,0.0163,0.0163,0.0
2026-06-01,0.9484,0.9567,0.7186,0.7538,0.7186,0.9641,0.0425,0.0193,0.0193,0.0039
2026-06-02,0.9503,0.9551,0.7314,0.7562,0.7314,0.9492,0.0354,0.0265,0.0088,0.0
2026-06-03,0.9681,0.9769,0.7665,0.7919,0.7665,0.9479,0.0292,0.0234,0.0058,0.0
2026-06-04,0.9651,0.9719,0.8117,0.8377,0.8117,0.9805,0.0256,0.0192,0.0064,0.0
2026-06-05,0.9231,0.928,0.7337,0.7337,0.7337,0.9822,0.0192,0.0064,0.0128,0.0
2026-06-06,0.9221,0.9344,0.6042,0.6528,0.6042,0.8085,0.0311,0.0311,0.0,0.0
2026-06-07,0.9445,0.9497,0.6931,0.7525,0.6931,0.9355,0.0769,0.0231,0.0538,0.0
2026-06-08,0.9339,0.9404,0.724,0.7448,0.724,0.9409,0.1421,0.0316,0.0368,0.0737
2026-06-09,0.8903,0.8932,0.7119,0.7401,0.7119,0.9938,0.0215,0.0161,0.0054,0.0
2026-06-10,0.953,0.9577,0.7766,0.8122,0.7766,0.9538,0.0169,0.0056,0.0056,0.0056
2026-06-11,0.941,0.944,0.7396,0.7456,0.7396,0.9458,0.0343,0.0114,0.0171,0.0057
2026-06-12,0.9506,0.9545,0.7803,0.7977,0.7803,0.9706,0.0412,0.0,0.0235,0.0176
2026-06-13,0.9683,0.9719,0.7771,0.8089,0.7771,0.8662,0.034,0.0272,0.0,0.0136
2026-06-14,0.955,0.9638,0.7757,0.8318,0.7757,0.9815,0.0357,0.0268,0.0,0.0089
2026-06-15,0.967,0.9717,0.7913,0.8261,0.7913,0.991,0.0709,0.0355,0.0213,0.0142
2026-06-16,0.9491,0.9589,0.7826,0.8164,0.7826,0.9561,0.0202,0.0161,0.0,0.004
2026-06-17,0.9529,0.9588,0.781,0.8048,0.781,0.9802,0.0427,0.0095,0.0332,0.0
2026-06-18,,,,,,,0.0,0.0,0.0,0.0
