Fecha,FR_Items,FR_Items_Reemplazo,FR_Compras,FR_Compras_Reemplazo,Compra_Perfecta,On_Time,Cancel_Rate,Cancel_Buyer,Cancel_Stockout,Cancel_Seller
2026-05-29,0.933,0.9397,0.7039,0.7263,0.7039,0.977,0.0613,0.0245,0.0184,0.0245
2026-05-30,0.93,0.9388,0.634,0.6863,0.634,0.915,0.0552,0.0414,0.0069,0.0138
2026-05-31,0.9345,0.9455,0.5814,0.6279,0.5814,0.9882,0.0325,0.0163,0.0163,0.0
2026-06-01,0.9484,0.9567,0.7186,0.7538,0.7186,0.9641,0.0425,0.0193,0.0193,0.0039
2026-06-02,0.9503,0.9551,0.7314,0.7562,0.7314,0.9492,0.0354,0.0265,0.0088,0.0
2026-06-03,0.9681,0.9769,0.7665,0.7919,0.7665,0.9479,0.0292,0.0234,0.0058,0.0
2026-06-04,0.9651,0.9719,0.8117,0.8377,0.8117,0.9805,0.0256,0.0192,0.0064,0.0
2026-06-05,0.9171,0.9221,0.7337,0.7337,0.7337,0.9822,0.0192,0.0064,0.0128,0.0
2026-06-06,0.9221,0.9344,0.6042,0.6528,0.6042,0.8085,0.0311,0.0311,0.0,0.0
2026-06-07,0.9445,0.9497,0.6931,0.7525,0.6931,0.9355,0.0769,0.0231,0.0538,0.0
2026-06-08,0.9339,0.9404,0.724,0.7448,0.724,0.9409,0.1421,0.0316,0.0368,0.0737
2026-06-09,0.8903,0.8932,0.7119,0.7401,0.7119,0.9938,0.0215,0.0161,0.0054,0.0
2026-06-10,0.953,0.9577,0.7766,0.8122,0.7766,0.9538,0.0169,0.0056,0.0056,0.0056
2026-06-11,0.9391,0.942,0.7337,0.7396,0.7337,0.9458,0.0343,0.0114,0.0171,0.0057
2026-06-12,0.9434,0.9473,0.7746,0.7919,0.7746,0.9706,0.0412,0.0,0.0235,0.0176
2026-06-13,0.9675,0.9711,0.7707,0.8025,0.7707,0.8662,0.034,0.0272,0.0,0.0136
2026-06-14,0.9538,0.9625,0.7664,0.8224,0.7664,0.9815,0.0357,0.0268,0.0,0.0089
2026-06-15,0.9646,0.9693,0.7739,0.8087,0.7739,0.991,0.0709,0.0355,0.0213,0.0142
2026-06-16,0.9458,0.9556,0.7778,0.8116,0.7778,0.9515,0.0202,0.0161,0.0,0.004
2026-06-17,0.9481,0.9541,0.7619,0.7857,0.7619,0.9754,0.0427,0.0095,0.0332,0.0
2026-06-18,0.9752,0.9794,0.8261,0.8502,0.8261,0.9659,0.0242,0.0097,0.0097,0.0048
2026-06-19,0.9645,0.9706,0.8079,0.8571,0.8079,0.8586,0.0629,0.0286,0.0229,0.0114
2026-06-20,0.9526,0.9591,0.7535,0.7676,0.7535,0.971,0.0559,0.028,0.028,0.0
2026-06-21,0.9413,0.9482,0.7,0.75,0.7,1.0,0.0164,0.0082,0.0082,0.0
2026-06-22,0.9426,0.9533,0.6884,0.7442,0.6884,0.9812,0.0292,0.0146,0.0146,0.0
2026-06-23,0.9491,0.9621,0.7736,0.8019,0.7736,0.9327,0.0383,0.0219,0.0164,0.0
2026-06-24,0.9731,0.9778,0.8342,0.8643,0.8342,1.0,0.0276,0.011,0.0166,0.0
2026-06-25,0.9635,0.9696,0.7778,0.8148,0.7778,0.9409,0.0498,0.0362,0.0136,0.0
2026-06-26,0.954,0.9602,0.7561,0.7854,0.7561,0.9507,0.0745,0.0426,0.016,0.016
2026-06-27,0.9312,0.9407,0.7007,0.7483,0.7007,0.958,0.0621,0.0483,0.0069,0.0069
2026-06-28,0.9552,0.9608,0.7103,0.7477,0.7103,0.9902,0.0641,0.0513,0.0128,0.0
2026-06-29,0.9547,0.9633,0.7409,0.772,0.7409,0.9735,0.0235,0.0176,0.0059,0.0
2026-06-30,,,,,,,0.1111,0.1111,0.0,0.0
